pres_year,pres_pv_share,pres_ev_share,win,kl_pres,period
1856.0,0.5778061224489796,0.6041666666666666,1,0.06724420714638835,Third
1860.0,0.35130718954248363,0.0625,0,0.3676439391436066,Third
1864.0,0.4496899379875975,0.09012875536480687,0,0.4460876232277603,Third
1868.0,0.47340000000000004,0.272108843537415,0,0.09167399669199827,Third
1872.0,0.4406438631790744,0.1875,0,0.16768756101878143,Third
1876.0,0.5151821862348178,0.4986449864498645,0,0.0005470290341100283,Third
1880.0,0.4994302289443696,0.42005420054200543,0,0.012765766622578556,Third
1884.0,0.5025746652935118,0.5461346633416458,1,0.004764776703897598,Third
1888.0,0.504149377593361,0.41895261845386533,0,0.01470462082067836,Third
1892.0,0.5168539325842697,0.6563981042654028,1,0.06296000380858632,Third
1896.0,0.4779938587512794,0.39373601789709173,0,0.014580242587449499,Fourth
1900.0,0.46858908341915556,0.34675615212527966,0,0.0314031113299455,Fourth
1904.0,0.4,0.29411764705882354,0,0.025482522200519414,Fourth
1908.0,0.4551214361140444,0.33540372670807456,0,0.030694369128538776,Fourth
1912.0,0.643076923076923,0.981941309255079,1,1.936270430828048,Fourth
1916.0,0.5162644281217208,0.5216572504708098,1,0.002877963978279781,Fourth
1920.0,0.36084656084656086,0.2391713747645951,0,0.037025091140146585,Fourth
1924.0,0.3478260869565218,0.2625482625482625,0,0.017686988720976682,Fourth
1928.0,0.4131313131313131,0.1638418079096045,0,0.1743289945270598,Fourth
1932.0,0.5917525773195876,0.8888888888888888,1,0.6720836095903272,Fifth
1936.0,0.6248715313463514,0.9849340866290018,1,1.9656021636890273,Fifth
1940.0,0.549748743718593,0.8455743879472694,1,0.414289817836774,Fifth
1944.0,0.5377643504531722,0.8135593220338984,1,0.30833556610574586,Fifth
1948.0,0.5236736419361656,0.6158536585365854,1,0.03988655006358571,Fifth
1952.0,0.4452261306532663,0.16760828625235405,0,0.2098694981303052,Fifth
1956.0,0.4225352112676056,0.13773584905660377,0,0.2421207058939669,Fifth
1960.0,0.500856250629596,0.5804597701149425,1,0.013397597241223913,Fifth
1964.0,0.6134538152610443,0.9033457249070632,1,0.8055196293841138,Fifth
1968.0,0.4959349593495936,0.3882113821138211,0,0.02382380877918283,Fifth
1972.0,0.3818737270875764,0.03165735567970205,0,0.6734385002731631,Fifth
1976.0,0.5107033639143731,0.553072625698324,1,0.008175338609978038,Sixth
1980.0,0.4471101417666303,0.09107806691449814,0,0.4365497900950008,Sixth
1984.0,0.4084507042253521,0.024163568773234202,0,0.8588046639976021,Sixth
1988.0,0.46115035317860753,0.20670391061452514,0,0.1616385296398406,Sixth
1992.0,0.5341614906832298,0.6877323420074349,1,0.10528555133554762,Sixth
1996.0,0.5472747497219133,0.7044609665427509,1,0.13703202405329018,Sixth
2000.0,0.5025960539979232,0.49534450651769085,0,0.00010517321848479717,Sixth
2004.0,0.48787878787878786,0.46741154562383613,0,0.000840125974780264,Sixth
2008.0,0.5365111561866126,0.6784386617100372,1,0.09804484857656107,Sixth
2012.0,0.5198372329603255,0.6171003717472119,1,0.03846054297536719,Sixth
2016.0,0.5111346765641569,0.4274952919020716,0,0.01412615432379423,Sixth
2020.0,0.5229357798165137,0.5687732342007435,1,0.016952330650990374,Sixth
2024.0,0.4923547400611621,0.4200743494423792,0,0.010593837492276076,Sixth
