house_year,house_pv_share,house_seat_share,win,kl_house,period
1856.0,0.5588691399260408,0.5945945945945946,1,0.047718083692652125,Third
1858.0,0.5677495569994093,0.42346938775510207,0,0.041965506398301114,Third
1860.0,0.4588140286109829,0.2847682119205298,0,0.06793395787542245,Third
1862.0,0.47573839662447254,0.4269005847953216,0,0.004835392041449851,Third
1864.0,0.4318181818181818,0.19230769230769232,0,0.14944906197899135,Third
1866.0,0.42363352420614264,0.21363636363636362,0,0.11095370637718335,Third
1868.0,0.4599749843652283,0.2815126050420168,0,0.07165056319184157,Third
1870.0,0.4731194220144496,0.40869565217391307,0,0.008474509180462664,Third
1872.0,0.5585742229950011,0.2968197879858657,0,0.14763613238288179,Third
1874.0,0.5253475935828876,0.6360424028268551,1,0.053892082489412046,Third
1876.0,0.5245549416820134,0.5326460481099656,1,0.0065535161984058565,Third
1878.0,0.5276981852913085,0.5164835164835165,1,0.0039057888307487895,Third
1880.0,0.48520837832001723,0.45878136200716846,0,0.0014028897219326673,Third
1882.0,0.5402717931720252,0.6261980830670927,1,0.05693672194752197,Third
1884.0,0.51502366742128,0.5634674922600619,1,0.012408086036312826,Third
1886.0,0.5168080764686929,0.5235109717868338,1,0.0032537483290544233,Third
1888.0,0.506872136609746,0.459214501510574,0,0.0045561176256497735,Third
1890.0,0.5422949417174634,0.7345679012345679,1,0.1709223633429482,Third
1892.0,0.5371882086167801,0.6374269005847953,1,0.06302581303808383,Third
1894.0,0.4386556576346086,0.26878612716763006,0,0.06644955223782745,Other
1896.0,0.45666221033868093,0.37575757575757573,0,0.01362962410706943,Fourth
1898.0,0.47643696754017045,0.46264367816091956,0,0.00038216653226404856,Fourth
1900.0,0.4674027339642482,0.4301994301994302,0,0.00280605761297429,Fourth
1902.0,0.4746334774812783,0.4607329842931937,0,0.00038832756671837963,Fourth
1904.0,0.42884051904562576,0.34974093264248707,0,0.013356585288490319,Fourth
1906.0,0.4607656514382403,0.4282051282051282,0,0.0021528932044399263,Fourth
